"Symbol","Company Name","IBD 50 Rank"
"BITA","BITAUTOHLDGSLTDADS","1"
"SLXP","SALIXPHARMACTLS","2"
"XRS","TALEDUCATIONGPAADS","3"
"TRN","TRINITYINDUSTRS","4"
"SWKS","SKYWKSSOLUTIONS","5"
"THRM","GENTHERMINC","6"
"ACT","ACTAVIS","7"
"FB","FACEBOOKINCCLA","8"
"URI","UNITEDRENTALS","9"
"JAZZ","JAZZPHARMACEUTICALSPLC","10"
"AKRX","AKORNINC","11"
"AVGO","AVAGOTECHNOLOGIES","12"
"SNCR","SYNCHRONOSSTECH","13"
"AMBA","AMBARELLAINC","14"
"GILD","GILEADSCIENCES","15"
"FL","FOOTLOCKER","16"
"SLCA","USSILICAHOLDINGSINC","17"
"ALXN","ALEXIONPHARMA","18"
"CAR","AVISBUDGETGROUP","19"
"ULTA","ULTABEAUTY","20"
"ATHM","AUTOHOMEINCCLAADS","21"
"ODFL","OLDDOMINIONFGHTLINE","22"
"TMH","TEAMHEALTHHLDGS","23"
"SAVE","SPIRITAIRLINESINC","24"
"CP","CANADIANPACIFIC","25"
"ILMN","ILLUMINA","26"
"FLT","FLEETCORTECHNOLOGIES","27"
"STZ","CONSTELLTNBRANDSA","28"
"UA","UNDERARMOURCLA","29"
"CDW","CDWCORP","30"
"BIIB","BIOGENIDECINC","31"
"CELG","CELGENE","32"
"UNP","UNIONPACIFICCORP","33"
"FFIV","F5NETWORKS","34"
"MMP","MAGELLANMIDSTRMPT","35"
"VIPS","VIPSHOPHOLDINGSLTDADS","36"
"VRX","VALEANTPHARMACEUTICALS","37"
"AAP","ADVANCEAUTOPARTS","38"
"PRXL","PAREXELINTL","39"
"KSU","KANSASCITYSOUTHRN","40"
"ABC","AMERISOURCEBERGEN","41"
"CBG","CBREGROUPINC","42"
"MANH","MANHATTANASSOC","43"
"PII","POLARISINDS","44"
"RHI","ROBERTHALFINTL","45"
"EXP","EAGLEMATERIALS","46"
"ARRS","ARRISGRP","47"
"WAB","WABTECCORP","48"
"CERN","CERNER","49"
"TMO","THERMOFISHERSCI","50"
