Symbol,Company Name,IBD 50 Rank
BITA,Bitauto Hldgs Ltd Ads,1
THRM,Gentherm Inc,2
CAR,Avis Budget Group Inc,3
SN,Sanchez Energy Corp,4
FB,Facebook Inc Cl A,5
TRN,Trinity Industries Inc,6
SLXP,Salix Pharmaceuticals,7
SHPG,Shire Plc Ads,8
SWKS,Skyworks Solutions Inc,9
ACT,Actavis plc,10
ALXN,Alexion Pharmaceuticals,11
UBNT,Ubiquiti Networks Inc,12
UA,Under Armour Inc Cl A,13
LAD,Lithia Motors Inc Cl A,14
CLR,Continental Res Inc,15
SAVE,Spirit Airlines Inc,16
KS,Kapstone Paper&Packaging,17
EPAM,Epam Systems Inc,18
JAZZ,Jazz Pharmaceuticals Plc,19
EOG,E O G Resources Inc,20
ARRS,Arris Group Inc,21
STZ,Constellation Brands A,22
GRFS,Grifols Sa Ads,23
AKRX,Akorn Inc,24
AFOP,Alliance Fiber Optic,25
AL,Air Lease Corp Cl A,26
ILMN,Illumina Inc,27
FANG,Diamondback Energy Inc,28
BWLD,Buffalo Wild Wings Inc,29
CBG,C B R E Group Inc,30
ODFL,Old Dominion Fght Lines,31
VIPS,Vipshop Holdings Ltd Ads,32
FLT,Fleetcor Technologies,33
SBNY,Signature Bank,34
FL,Foot Locker Inc,35
BIIB,Biogen Idec Inc,36
CELG,Celgene Corp,37
CMG,Chipotle Mexican Grill,38
EMES,Emerge Energy Svcs LP,39
QIHU,Qihoo 360 Technology Ads,40
AFSI,Amtrust Financial Svcs,41
WAB,Wabtec,42
GILD,Gilead Sciences Inc,43
PKG,Packaging Cp Of America,44
SIVB,S V B Financial Group,45
EXP,Eagle Materials Inc,46
APC,Anadarko Petroleum Corp,47
OTEX,Open Text Corp,48
AMBA,Ambarella Inc,49
MANH,Manhattan Associates Inc,50
